epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,1829.57,0.50365,0.38564,0.9065,0.97111,0.96079,0.9895,0.87597,0.49896,0.36072,0.90045,0.000104639,0.000104639,0.000104639
125,1844.03,0.50751,0.38297,0.90673,0.95959,0.96452,0.98784,0.88437,0.48256,0.35647,0.9061,0.00010097,0.00010097,0.00010097
126,1858.77,0.49543,0.3773,0.90626,0.96554,0.95781,0.98876,0.8806,0.48706,0.3625,0.90568,9.73e-05,9.73e-05,9.73e-05
127,1873.25,0.5002,0.37791,0.90517,0.97741,0.96871,0.98606,0.88035,0.50121,0.34099,0.91164,9.36304e-05,9.36304e-05,9.36304e-05
128,1887.4,0.4837,0.38254,0.90307,0.97797,0.96535,0.98609,0.8724,0.50304,0.35171,0.91323,8.99608e-05,8.99608e-05,8.99608e-05
129,1901.84,0.48902,0.37713,0.89862,0.96763,0.96656,0.98714,0.87622,0.49569,0.35785,0.90829,8.62912e-05,8.62912e-05,8.62912e-05
130,1916.51,0.4926,0.37419,0.9094,0.96726,0.96657,0.98844,0.87899,0.49493,0.34592,0.90266,8.26216e-05,8.26216e-05,8.26216e-05
131,1931.12,0.50362,0.38658,0.90527,0.9714,0.95556,0.98626,0.87369,0.49551,0.35945,0.90801,7.8952e-05,7.8952e-05,7.8952e-05
132,1945.99,0.4914,0.3699,0.89116,0.96432,0.96121,0.98704,0.88844,0.47491,0.34474,0.90363,7.52824e-05,7.52824e-05,7.52824e-05
133,1959.93,0.47792,0.35965,0.89357,0.9615,0.95987,0.9853,0.87109,0.50144,0.34228,0.91505,7.16128e-05,7.16128e-05,7.16128e-05
134,1974.64,0.48158,0.36796,0.89736,0.96336,0.95866,0.98932,0.88823,0.48804,0.3458,0.91086,6.79432e-05,6.79432e-05,6.79432e-05
135,1988.99,0.48108,0.36682,0.89222,0.96905,0.95773,0.98787,0.88847,0.48919,0.34557,0.91382,6.42736e-05,6.42736e-05,6.42736e-05
136,2003.46,0.47212,0.36445,0.89874,0.96509,0.96018,0.98452,0.88282,0.48742,0.35016,0.91103,6.0604e-05,6.0604e-05,6.0604e-05
137,2018.14,0.47952,0.36916,0.896,0.96425,0.96162,0.98614,0.88069,0.48516,0.34819,0.90959,5.69344e-05,5.69344e-05,5.69344e-05
138,2032.78,0.47704,0.36035,0.89463,0.9676,0.96366,0.98857,0.88238,0.48266,0.34715,0.90902,5.32648e-05,5.32648e-05,5.32648e-05
139,2046.29,0.47266,0.356,0.89393,0.97187,0.96934,0.98937,0.88692,0.48428,0.34103,0.90469,4.95952e-05,4.95952e-05,4.95952e-05
140,2060.94,0.47595,0.35221,0.89966,0.9735,0.96959,0.98515,0.87514,0.49237,0.33554,0.90833,4.59256e-05,4.59256e-05,4.59256e-05
141,2078.24,0.43091,0.30114,0.87116,0.9677,0.9771,0.9843,0.8801,0.48365,0.33836,0.90326,4.2256e-05,4.2256e-05,4.2256e-05
142,2091.53,0.41117,0.29136,0.85693,0.96853,0.97909,0.98356,0.87859,0.50072,0.33461,0.90721,3.85864e-05,3.85864e-05,3.85864e-05
143,2105.64,0.39978,0.28177,0.86253,0.97174,0.97354,0.98405,0.88488,0.48907,0.33795,0.90592,3.49168e-05,3.49168e-05,3.49168e-05
144,2119.55,0.40153,0.28277,0.85836,0.97325,0.9729,0.98849,0.88973,0.48614,0.33063,0.90267,3.12472e-05,3.12472e-05,3.12472e-05
145,2133.72,0.39894,0.27812,0.85141,0.97127,0.97573,0.98764,0.88389,0.48554,0.33197,0.90567,2.75776e-05,2.75776e-05,2.75776e-05
146,2147.99,0.39783,0.27176,0.84875,0.96958,0.9756,0.98737,0.88461,0.4833,0.33523,0.90549,2.3908e-05,2.3908e-05,2.3908e-05
147,2161.75,0.39043,0.27844,0.84681,0.9686,0.97133,0.9877,0.88243,0.47852,0.33354,0.90181,2.02384e-05,2.02384e-05,2.02384e-05
148,2175.8,0.39022,0.27708,0.85163,0.96775,0.97082,0.98787,0.88661,0.48068,0.33453,0.90217,1.65688e-05,1.65688e-05,1.65688e-05
149,2189.97,0.38524,0.2742,0.84762,0.96761,0.96879,0.98863,0.88793,0.47495,0.33521,0.90123,1.28992e-05,1.28992e-05,1.28992e-05
150,2204.04,0.38272,0.27676,0.84675,0.97316,0.97164,0.98815,0.88711,0.4756,0.33097,0.90149,9.2296e-06,9.2296e-06,9.2296e-06
